amfi_code,CAGR,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Maximum_Drawdown,return_3yr_pct,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,score_3yr,score_sharpe,score_alpha,score_expense,score_drawdown,Fund_Score,Tracking_Error
118632,0.2404949266239175,1.0816591793457042,1.850132546855726,0.2182939790460864,-0.008353832126962,-0.1741407508665723,14.0,1.51,21.0,8.0,11.0,24.5,23.0,50.0,82.5,75.0,41.25,45.0,61.3125,
119551,0.25804686425584,1.2082665673727175,2.140267129061793,0.2320100716063508,-0.0317514411389097,-0.1501238549864533,12.36,1.54,26.0,4.0,10.0,30.5,17.0,37.5,92.5,77.5,26.25,60.0,59.8125,
101206,0.2353836133468803,1.0272133278753697,1.799562874698452,0.2139978477605121,0.021086316250128,-0.1129159632932307,13.78,1.6,22.0,9.0,12.0,36.5,9.0,47.5,80.0,72.5,11.25,80.0,58.4375,
119552,0.215242358737697,0.9532794968660104,1.609776489628308,0.1986859936686296,-0.0261593075135133,-0.118034935027643,11.3,0.66,34.0,12.0,15.0,4.0,11.0,17.5,72.5,65.0,92.5,75.0,57.75,
148568,0.2251686900711385,0.9262873467360144,1.632740977873516,0.2087301008694233,-0.026387719943843,-0.1527259422823477,14.56,1.52,19.0,15.0,14.0,26.5,19.0,55.00000000000001,65.0,67.5,36.25,55.00000000000001,57.1875,
125497,0.1901779534471146,0.7757902498211205,1.3306512447571364,0.1772975492753176,0.0488204042595773,-0.1520001305560639,13.38,0.92,24.0,18.0,16.0,14.0,18.0,42.5,57.49999999999999,62.5,67.5,57.49999999999999,55.5,
118634,0.1637347403341575,0.4484340089089912,0.7460146308533572,0.1750072167561127,0.1034966369133759,-0.2334488614483311,20.15,1.53,5.0,26.0,18.0,28.5,32.0,90.0,37.5,57.49999999999999,31.25,22.5,54.8125,
120506,0.1708486725575018,0.6488787755249532,1.0958951614736467,0.1625385327998104,0.0418964627281197,-0.1982565826298267,14.76,1.41,18.0,20.0,20.0,19.0,27.0,57.49999999999999,52.5,52.5,55.00000000000001,35.0,52.625,
125498,0.1130181712327997,0.3006119210425478,0.5088128197169232,0.1198910097121797,0.0090544126217391,-0.2111727956013212,15.29,0.78,14.0,27.0,26.0,10.0,29.0,67.5,35.0,37.5,77.5,30.0,51.125,
119599,0.0205448470180937,-0.0571866258281799,-0.094387261294596,0.0488242159455398,0.0620018043826716,-0.525742211701285,23.14,0.72,2.0,32.0,36.0,5.5,40.0,97.5,22.5,12.5,88.75,2.5,50.9375,
118633,0.1627421735450427,0.6452074382933215,1.154475716923624,0.1564383594816966,-0.0366390067186093,-0.1862974313859551,12.33,0.72,27.0,21.0,22.0,5.5,26.0,35.0,50.0,47.5,88.75,37.5,49.5625,
101207,0.0793876483724771,0.1626607692864677,0.2766437962609233,0.1089709190170453,-0.0652892478835152,-0.3544691649336603,22.38,1.53,3.0,28.0,27.0,28.5,38.0,95.0,32.5,35.0,31.25,7.5,49.0625,
118635,0.1595723117967173,0.664856998549062,1.137976718780742,0.1513635464823924,-0.0014335213897801,-0.1165062450540909,11.77,0.89,32.0,19.0,23.0,13.0,10.0,22.5,55.00000000000001,45.0,70.0,77.5,47.75,
120503,0.187853255982622,0.7979728586052847,1.3379431500669237,0.1770330236584407,-0.0402689523698206,-0.1389786282306163,11.54,1.42,33.0,17.0,17.0,20.0,14.0,20.0,60.0,60.0,52.5,67.5,47.625,
102887,0.1684112024730752,0.6195175900829828,1.0887552508030016,0.1621125679403325,0.0166826894377708,-0.2153982711238322,15.34,1.64,13.0,22.0,21.0,39.5,30.0,70.0,47.5,50.0,3.75,27.500000000000004,46.1875,
102885,0.1823237888770594,0.8170993373494367,1.4357420130649492,0.1704875680341269,-0.0194867856894745,-0.1085986215250232,12.1,1.57,30.0,16.0,19.0,34.0,7.0,27.500000000000004,62.5,55.00000000000001,17.5,85.0,46.0,
119095,0.0152150453308239,-0.0759735711747892,-0.1281855927585192,0.0480159536377595,-0.0669511746392919,-0.5167775370852657,20.98,1.38,4.0,33.0,37.0,17.0,39.0,92.5,20.0,10.0,60.0,5.0,44.25,
120507,0.0723753972838441,0.4957233929533123,1.0521238822609291,0.0674621041109953,-0.0004440926329707,-0.0009773140045925,7.68,0.74,35.0,23.0,31.0,7.0,1.0,15.0,45.0,25.0,85.0,100.0,43.5,
120842,0.0670154348203846,0.0759998480465892,0.1246934698647567,0.0780443887615508,0.0180568742081181,-0.2400351132627488,18.23,1.56,7.0,30.0,29.0,33.0,33.0,85.0,27.500000000000004,30.0,20.0,20.0,43.375,
149322,0.1339327592400185,0.4640374492204777,0.7621288703723166,0.1317319022609943,-0.0040502711300065,-0.1484457691777174,12.82,1.54,25.0,25.0,24.0,30.5,16.0,40.0,40.0,42.5,26.25,62.5,40.6875,
119093,0.0789755785437595,0.1296144979566932,0.2210868397927635,0.0823280129522209,0.0258832124400931,-0.2175139637014823,12.14,0.75,29.0,29.0,28.0,8.0,31.0,30.0,30.0,32.5,82.5,25.0,37.875,
120844,0.0691527298506715,-0.0887472962155728,-0.1877230477424223,0.0645567749537599,-0.0004007442394784,-0.0011629327956168,6.18,0.6,37.0,34.0,32.0,3.0,2.0,10.0,17.5,22.5,95.0,97.5,35.875,
120841,0.1353221114899239,0.4942725378672349,0.8625738849916581,0.1304292445070544,0.0363563990221998,-0.1757361416468728,12.25,1.59,28.0,24.0,25.0,35.0,24.0,32.5,42.5,40.0,15.0,42.5,34.875,
102886,0.0117174549183411,-0.205831607854703,-0.3472223025472726,0.0289693978663794,-0.0421250290218943,-0.2800112356639287,15.61,1.51,12.0,36.0,40.0,24.5,35.0,72.5,12.5,2.5,41.25,15.0,33.0625,
100025,0.0445820961917313,-0.5670947928476846,-0.9418212366054204,0.0428179203150608,0.0011582183155281,-0.0430826382463634,7.37,0.56,36.0,39.0,38.0,2.0,4.0,12.5,5.0,7.5,97.5,92.5,30.375,
118636,0.0531688962517127,-0.3566295075143678,-0.6135251287271023,0.050747729999761,0.0012566742731558,-0.083163617636387,5.31,0.55,39.0,38.0,35.0,1.0,6.0,5.0,7.5,15.0,100.0,87.5,30.125,
119120,0.0588941871634671,-0.2265753866279157,-0.3767670081706668,0.0562089521663836,-0.0064138507282764,-0.0432872892397009,6.07,0.77,38.0,37.0,34.0,9.0,5.0,7.5,10.0,17.5,80.0,90.0,29.25,
100016,0.026370743672111,-0.2015170675596693,-0.3510474601523089,0.0374758076344328,-0.0582684314388089,-0.247344408806733,14.84,1.55,16.0,35.0,39.0,32.0,34.0,62.5,15.0,5.0,22.5,17.5,28.625,
119092,0.0636798923760524,0.0307848509545859,0.052573985593048,0.0689952982167755,0.0097307450011536,-0.1440161790933726,11.84,1.64,31.0,31.0,30.0,39.5,15.0,25.0,25.0,27.500000000000004,3.75,65.0,26.3125,
101208,0.0650902685546532,-0.8155673679088263,-1.681037866751281,0.0608614579578711,0.0002667096833823,-0.0016224980244717,5.14,0.79,40.0,40.0,33.0,11.0,3.0,2.5,2.5,20.0,75.0,95.0,26.125,
